Filename,DecadePublished,YearPublished,Author,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
1906-Neet.txt,1900,1906,Neet,34496,92.72,52.86,31.09,46.79,14.82,22.61,84.11,52.06,9.05,2.67,0.23,0.75,0.03,1.01,0.65,6.38,11.48,15.53,7.56,3.51,5.87,1.12,12.48,5.31,2.48,1.51,2.68,2.59,3.48,2.26,1.12,0.45,0.14,0.16,4.75,0.02,0.09,0.05,1.12,14.53,4.59,2.75,0.91,3.1,1.56,3.43,4.62,1.01,0.62,1.55,3.87,2.75,0.83,0.09,0.39,4.24,1.15,0.97,1.47,0.72,0.24,1.79,8.75,0.59,11.71,1.86,7.01,2.81,1.85,0.31,0.12,0.16,0.06,0.03,0.18,0.02,0.02,0.03,0.12,0,13.62,6.74,4.86,0.45,0.56,0.1,0.01,0.41,0,0.36,0.11,0.02
1907-Judd.txt,1900,1907,Judd,102750,96.58,57.47,32.2,37.95,23.01,26.53,83.46,51.97,7.67,2.24,0.09,0.71,0.01,0.85,0.58,5.43,11.52,18.09,7.26,3.53,5.22,0.89,11.08,6.65,3.3,2.08,1.19,2.64,3.28,1.93,1.24,0.52,0.21,0.22,5.25,0.02,0.09,0.01,0.99,13.56,3.86,2.45,0.91,2.66,2.27,3.12,3.8,1.53,0.51,0.68,2.39,1.57,0.7,0.07,0.25,4.93,1.5,1.12,1.76,0.54,0.33,1.98,7.72,0.97,12.92,1.96,8.15,3,2.44,0.26,0.04,0.19,0.07,0.01,0.16,0,0.03,0.06,0.07,0,8.74,4.35,3.71,0,0,0.02,0,0.18,0.25,0.18,0.04,0
1911-Pillsbury.txt,1910,1911,Pillsbury,102111,94.83,47.68,48.25,42.7,21.01,25.4,86.54,52.23,6.85,1.61,0.07,0.37,0.13,0.37,0.67,5.23,11.7,16.65,8.41,3.21,6.53,1.04,12.72,6.55,3.79,1.36,2.21,3.55,3.95,2.34,1.4,0.41,0.19,0.3,4.25,0.03,0.06,0.03,0.57,16.5,4.87,2.66,1.23,4.09,2.08,4.21,3.26,1.29,0.37,0.76,2.15,1.41,0.65,0.08,0.22,5.21,1.18,1.55,1.77,0.76,0.5,2.32,8.79,1.25,13.19,1.98,7.13,4.18,2.5,0.29,0.07,0.18,0.05,0.02,0.13,0.01,0.02,0.02,0.08,0,9.86,4.77,4.28,0,0,0.02,0,0.3,0.01,0.3,0.18,0
1911-Yerkes.txt,1910,1911,Yerkes,103158,90.17,55.68,26.98,52.91,20.98,27.35,84.86,52.98,10.17,3.93,0.74,1.84,0.08,0.47,0.8,6.24,9.46,16.95,7.59,3.43,6.6,1.04,11.2,6.14,3.47,1.86,1.44,2.7,4.09,2.67,1.23,0.31,0.15,0.24,5.46,0.09,0.06,0.05,0.58,16.07,4.86,2.17,1.1,3.7,2.4,4.17,4.54,1.34,0.39,1.55,2.48,1.5,0.73,0.02,0.21,6.53,2.63,1.27,2.03,0.64,0.42,1.48,8.14,1.1,9.12,1.11,4.96,3.03,3.24,0.32,0.08,0.23,0.05,0.03,0.18,0.01,0.01,0.07,0.09,0,11.6,4.64,5.28,0,0,0.26,0.03,0.45,0.38,0.01,0.56,0
1914-Ogden.txt,1910,1914,Ogden,56562,88.3,57.36,29.3,42.14,22.25,29.36,82.57,53.2,10.13,3.49,0.15,2.18,0,0.25,0.92,6.64,9.79,16.14,7.97,3.83,6.53,1.3,10.79,6.19,3.19,2.11,1.06,2.67,3.37,2.09,1.18,0.26,0.18,0.25,5.27,0.01,0.03,0.02,0.27,16.66,4.35,2.91,1.05,3.7,2.6,4.14,3.62,1.58,0.33,0.71,1.89,0.98,0.71,0.07,0.22,6.18,2.76,1.35,1.53,0.44,0.52,1.31,8.33,1.01,10.39,0.9,5.98,3.38,1.92,0.38,0.03,0.18,0.16,0.02,0.12,0,0.02,0.03,0.07,0,12.18,4.54,6.08,0.11,0.09,0.02,0,0.49,0.06,0.51,0.27,0.01
1919-Hunter.txt,1910,1919,Hunter,92704,93.85,53.36,28.54,27.6,21.33,27.3,81.48,50.32,7.48,2.43,0.41,0.86,0.01,0.55,0.6,5.04,10.66,16.11,7.42,3.38,6.51,0.88,11.11,5.67,2.9,1.36,1.79,2.5,4.45,2.14,2.03,0.64,0.41,0.31,4.76,0.06,0.11,0.15,0.64,13.5,3.57,2.43,1.01,3.21,1.84,3.5,3.54,1.46,0.43,0.68,2.37,1.49,0.64,0.17,0.29,5.54,1.68,1.27,1.9,0.6,0.63,2.06,7.78,1.1,11.67,1.7,6.5,3.47,2.2,0.29,0.06,0.35,0.09,0.07,0.24,0.01,0.12,0.03,0.09,0,13.17,4.62,5.49,0,0,0.11,0.01,0.75,0.67,0.28,1.21,0.03
1919-Warren.txt,1910,1919,Warren,115739,96.64,53.76,39.43,42.15,19.81,29.26,79.71,47.68,6.7,2.31,0.1,1.22,0.06,0.31,0.62,4.39,11.31,16.07,5.86,2.92,5.97,0.76,9.45,6.31,3.32,1.59,1.53,2.92,2.94,1.84,0.93,0.27,0.16,0.18,4.79,0.04,0.08,0.02,0.49,14.07,3.33,2.72,0.58,3.75,1.68,4.26,4.59,1.64,0.34,0.91,3.4,2.27,1.04,0.07,0.22,5.09,2.13,0.98,1.56,0.42,0.35,1.46,6.77,0.8,12.59,1.68,7.82,3.18,1.94,0.34,0.08,0.22,0.06,0.03,0.13,0.01,0.05,0.01,0.07,0,11.4,5.08,3.92,0,0,0.02,0.01,0.37,0.09,0.64,1.26,0.02
1919-Watson.txt,1910,1919,Watson,140391,94.97,58.62,29.79,30.77,20.87,24.52,81.08,50.2,7.14,2.83,0.08,1.03,0.06,1.1,0.56,4.3,11.09,16.33,7.08,3.75,5.97,0.99,11.51,5.49,2.77,1.32,2.1,2.69,3.36,1.78,1.49,0.36,0.23,0.36,5.55,0.17,0.14,0.39,1.05,11.98,1.98,2.73,1.01,3.28,1.63,3.39,3.01,1.27,0.35,0.68,3.3,2.13,0.97,0.15,0.38,5.98,1.65,1.54,2.03,0.81,0.51,2.73,7.49,0.91,14.48,2.05,8.16,4.31,2.52,0.46,0.13,0.25,0.04,0.05,0.21,0.01,0.05,0.04,0.12,0,12.06,4.81,4.36,0,0,0.11,0,0.56,0.45,0.25,1.49,0.02
1921-Smith & Guthrie.txt,1920,1921,Smith & Guthrie,54181,94.6,61.28,28.96,23.99,22.25,26.75,82.62,50.48,7.53,2.82,0.01,1.08,0.01,1.17,0.53,4.71,11.36,16.08,7.21,3.42,6.34,0.9,11.41,5.08,2.88,1.36,1.24,2.67,3.74,1.76,1.87,0.6,0.36,0.45,6.06,0.32,0.16,0.23,1.34,14.25,2.52,4.63,0.78,3.58,1.28,3.36,4.22,1.12,0.52,0.66,2.79,1.75,0.62,0.16,0.53,5.4,1.76,1.08,1.63,0.63,0.64,2.11,7.44,1.17,13.72,2.48,6.75,4.44,1.54,0.56,0.27,0.27,0.12,0.09,0.11,0.02,0,0.01,0.07,0,11.27,4.5,5.36,0.01,0.08,0.01,0,0.3,0.48,0.41,0.09,0.01
1922-Dunlap.txt,1920,1922,Dunlap,119699,95.07,41.27,34.36,34.51,24.66,27.73,80.72,50.56,6.04,1.44,0.17,0.45,0.11,0.25,0.45,4.59,11.37,16.26,7.74,3.31,6.85,1.06,11,6.09,3.24,1.54,1.94,2.68,3.16,1.79,1.28,0.32,0.19,0.31,3.13,0.04,0.03,0.05,0.34,16.07,3.61,3.21,1.05,4.04,1.89,4.66,4.76,1.73,0.49,0.75,2.78,1.72,0.86,0.08,0.35,4.01,0.91,1.06,1.49,0.58,0.34,1.71,7.53,1.14,11.44,1.33,7.15,2.96,1.81,0.26,0.06,0.11,0.04,0.03,0.22,0.01,0.13,0.03,0.06,0,14.33,4.16,7.6,0.45,0.42,0.05,0.01,0.43,0.03,0.16,0.99,0.05
