underlying_symbol,quote_date,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size_1545,bid_1545,ask_size_1545,ask_1545,underlying_bid_1545,underlying_ask_1545,bid_size_eod,bid_eod,ask_size_eod,ask_eod,underlying_bid_eod,underlying_ask_eod,vwap,open_interest,delivery_code
IBM,2013-04-26,IBM,2013-04-26,150.000,C,0.0000,0.0000,0.0000,0.0000,0,96,44.1500,198,45.0000,194.3900,194.4200,42,42.6500,10,45.9000,194.3100,194.3200,0.0000,0,
IBM,2013-04-26,IBM,2013-04-26,150.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,14,0.0100,194.3900,194.4200,0,0.0000,14,0.0100,194.3100,194.3200,0.0000,0,
IBM,2013-04-26,IBM,2013-04-26,155.000,C,0.0000,0.0000,0.0000,0.0000,0,96,39.1000,82,39.9000,194.3900,194.4200,10,37.6500,22,40.9500,194.3100,194.3200,0.0000,0,
IBM,2013-04-26,IBM,2013-04-26,155.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,1002,0.0300,194.3900,194.4200,0,0.0000,515,0.0300,194.3100,194.3200,0.0000,0,
IBM,2013-04-26,IBM,2013-04-26,160.000,C,0.0000,0.0000,0.0000,0.0000,0,96,34.1000,96,34.9000,194.3900,194.4200,50,32.1500,71,36.0000,194.3100,194.3200,0.0000,0,
IBM,2013-04-26,IBM,2013-04-26,160.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,15,0.0100,194.3900,194.4200,0,0.0000,15,0.0100,194.3100,194.3200,0.0000,0,
IBM,2013-04-26,IBM,2013-04-26,165.000,C,0.0000,0.0000,0.0000,0.0000,0,96,29.1000,96,29.9000,194.3900,194.4200,20,27.2500,1,30.9500,194.3100,194.3200,0.0000,0,
IBM,2013-04-26,IBM,2013-04-26,165.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,356,0.0200,194.3900,194.4200,0,0.0000,204,0.0200,194.3100,194.3200,0.0000,41,
IBM,2013-04-26,IBM,2013-04-26,170.000,C,0.0000,0.0000,0.0000,0.0000,0,96,24.1000,96,24.9000,194.3900,194.4200,1,22.6000,51,26.0000,194.3100,194.3200,0.0000,0,
IBM,2013-04-26,IBM,2013-04-26,170.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,6,0.0100,194.3900,194.4200,0,0.0000,6,0.0100,194.3100,194.3200,0.0000,360,
IBM,2013-04-26,IBM,2013-04-26,175.000,C,0.0000,0.0000,0.0000,0.0000,0,189,19.2500,171,19.5500,194.3900,194.4200,61,17.9000,42,20.2500,194.3100,194.3200,0.0000,94,
IBM,2013-04-26,IBM,2013-04-26,175.000,P,0.0100,0.0100,0.0100,0.0100,11,0,0.0000,394,0.0200,194.3900,194.4200,0,0.0000,208,0.0200,194.3100,194.3200,0.0100,363,
IBM,2013-04-26,IBM,2013-04-26,180.000,C,13.5000,14.3500,13.5000,14.3500,150,220,14.2500,226,14.5500,194.3900,194.4200,102,13.0500,70,15.2000,194.3100,194.3200,13.9167,230,
IBM,2013-04-26,IBM,2013-04-26,180.000,P,0.0100,0.0200,0.0100,0.0100,127,0,0.0000,62,0.0100,194.3900,194.4200,0,0.0000,204,0.0200,194.3100,194.3200,0.0108,940,
IBM,2013-04-26,IBM,2013-04-26,185.000,C,9.1000,9.6500,9.0000,9.6500,10,225,9.2500,216,9.5500,194.3900,194.4200,154,8.0000,143,9.8000,194.3100,194.3200,9.3980,186,
IBM,2013-04-26,IBM,2013-04-26,185.000,P,0.0100,0.0200,0.0100,0.0100,121,0,0.0000,395,0.0200,194.3900,194.4200,0,0.0000,331,0.0200,194.3100,194.3200,0.0102,1561,
IBM,2013-04-26,IBM,2013-04-26,190.000,C,4.5000,4.6000,3.3000,4.4300,605,12,4.3500,322,4.5000,194.3900,194.4200,40,4.2000,119,4.4000,194.3100,194.3200,4.1400,2065,
IBM,2013-04-26,IBM,2013-04-26,190.000,P,0.0100,0.0700,0.0100,0.0100,304,0,0.0000,46,0.0100,194.3900,194.4200,0,0.0000,45,0.0100,194.3100,194.3200,0.0188,2164,
IBM,2013-04-26,IBM,2013-04-26,195.000,C,0.2400,0.4000,0.0100,0.0100,1718,22,0.0200,324,0.0200,194.3900,194.4200,0,0.0000,198,0.0100,194.3100,194.3200,0.1146,2245,
IBM,2013-04-26,IBM,2013-04-26,195.000,P,0.9800,1.5600,0.4400,0.6500,651,164,0.5300,153,0.6600,194.3900,194.4200,108,0.5900,21,0.7700,194.3100,194.3200,1.1620,1025,
IBM,2013-04-26,IBM,2013-04-26,200.000,C,0.0100,0.0200,0.0100,0.0100,37,0,0.0000,111,0.0200,194.3900,194.4200,0,0.0000,111,0.0200,194.3100,194.3200,0.0154,1177,
IBM,2013-04-26,IBM,2013-04-26,200.000,P,5.6800,6.5400,5.5000,5.5500,419,368,5.5000,64,5.7000,194.3900,194.4200,72,5.3000,152,6.0000,194.3100,194.3200,5.7398,1259,
IBM,2013-04-26,IBM,2013-04-26,205.000,C,0.0100,0.0100,0.0100,0.0100,1,0,0.0000,54,0.0100,194.3900,194.4200,0,0.0000,54,0.0100,194.3100,194.3200,0.0100,603,
IBM,2013-04-26,IBM,2013-04-26,205.000,P,10.7500,11.6000,10.7500,11.3000,49,117,10.5000,44,10.7000,194.3900,194.4200,144,10.2000,122,11.9000,194.3100,194.3200,11.1792,538,
IBM,2013-04-26,IBM,2013-04-26,210.000,C,0.0100,0.0200,0.0100,0.0200,41,0,0.0000,130,0.0200,194.3900,194.4200,0,0.0000,69,0.0200,194.3100,194.3200,0.0190,862,
IBM,2013-04-26,IBM,2013-04-26,210.000,P,16.0000,16.0000,15.5500,15.5500,7,45,15.5000,44,15.7000,194.3900,194.4200,11,14.2500,10,17.3000,194.3100,194.3200,15.7743,350,
IBM,2013-04-26,IBM,2013-04-26,215.000,C,0.0100,0.0100,0.0100,0.0100,22,0,0.0000,11,0.0100,194.3900,194.4200,0,0.0000,6,0.0100,194.3100,194.3200,0.0100,2429,
IBM,2013-04-26,IBM,2013-04-26,215.000,P,0.0000,0.0000,0.0000,0.0000,0,210,20.3000,62,20.7500,194.3900,194.4200,11,19.1000,10,22.3500,194.3100,194.3200,0.0000,153,
IBM,2013-04-26,IBM,2013-04-26,220.000,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,131,0.0100,194.3900,194.4200,0,0.0000,116,0.0100,194.3100,194.3200,0.0000,2974,
IBM,2013-04-26,IBM,2013-04-26,220.000,P,0.0000,0.0000,0.0000,0.0000,0,67,25.5000,119,25.7500,194.3900,194.4200,10,24.0000,41,27.2000,194.3100,194.3200,0.0000,2008,
IBM,2013-04-26,IBM,2013-04-26,225.000,C,0.0100,0.0100,0.0100,0.0100,1,0,0.0000,11,0.0100,194.3900,194.4200,0,0.0000,1,0.0100,194.3100,194.3200,0.0100,1078,
IBM,2013-04-26,IBM,2013-04-26,225.000,P,0.0000,0.0000,0.0000,0.0000,0,82,30.2500,41,31.0000,194.3900,194.4200,20,29.0000,10,32.8500,194.3100,194.3200,0.0000,0,
IBM,2013-04-26,IBM,2013-04-26,230.000,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,92,0.0200,194.3900,194.4200,0,0.0000,44,0.0200,194.3100,194.3200,0.0000,549,
IBM,2013-04-26,IBM,2013-04-26,230.000,P,0.0000,0.0000,0.0000,0.0000,0,82,35.1500,41,36.0000,194.3900,194.4200,31,34.0000,10,37.8500,194.3100,194.3200,0.0000,0,
IBM,2013-04-26,IBM,2013-04-26,235.000,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,366,0.0300,194.3900,194.4200,0,0.0000,125,0.0300,194.3100,194.3200,0.0000,429,
IBM,2013-04-26,IBM,2013-04-26,235.000,P,0.0000,0.0000,0.0000,0.0000,0,27,40.2500,41,41.0000,194.3900,194.4200,22,39.1000,10,42.3000,194.3100,194.3200,0.0000,0,
IBM,2013-04-26,IBM,2013-04-26,240.000,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,243,0.0300,194.3900,194.4200,0,0.0000,104,0.0300,194.3100,194.3200,0.0000,0,
IBM,2013-04-26,IBM,2013-04-26,240.000,P,0.0000,0.0000,0.0000,0.0000,0,27,45.2500,41,46.0000,194.3900,194.4200,73,44.0000,10,47.3000,194.3100,194.3200,0.0000,0,
IBM,2013-04-26,IBM,2013-04-26,245.000,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,542,0.0300,194.3900,194.4200,0,0.0000,231,0.0300,194.3100,194.3200,0.0000,0,
IBM,2013-04-26,IBM,2013-04-26,245.000,P,0.0000,0.0000,0.0000,0.0000,0,27,50.1500,41,51.0000,194.3900,194.4200,11,49.1000,1,52.3000,194.3100,194.3200,0.0000,0,
IBM,2013-04-26,IBM,2013-04-26,250.000,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,423,0.0300,194.3900,194.4200,0,0.0000,176,0.0300,194.3100,194.3200,0.0000,0,
